EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,button-press-topdown-v1_success_rate,button-press-topdown-v1_eval_rewards,door-v1_success_rate,door-v1_eval_rewards,drawer-close-v1_success_rate,drawer-close-v1_eval_rewards,drawer-open-v1_success_rate,drawer-open-v1_eval_rewards,ped-insert-side-v1_success_rate,ped-insert-side-v1_eval_rewards,pick-place-v1_success_rate,pick-place-v1_eval_rewards,push-v1_success_rate,push-v1_eval_rewards,reach-v1_success_rate,reach-v1_eval_rewards,window-close-v1_success_rate,window-close-v1_eval_rewards,window-open-v1_success_rate,window-open-v1_eval_rewards,mean_success_rate,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,alpha_0_Mean,alpha_0_Std,alpha_0_Max,alpha_0_Min,alpha_1_Mean,alpha_1_Std,alpha_1_Max,alpha_1_Min,alpha_2_Mean,alpha_2_Std,alpha_2_Max,alpha_2_Min,alpha_3_Mean,alpha_3_Std,alpha_3_Max,alpha_3_Min,alpha_4_Mean,alpha_4_Std,alpha_4_Max,alpha_4_Min,alpha_5_Mean,alpha_5_Std,alpha_5_Max,alpha_5_Min,alpha_6_Mean,alpha_6_Std,alpha_6_Max,alpha_6_Min,alpha_7_Mean,alpha_7_Std,alpha_7_Max,alpha_7_Min,alpha_8_Mean,alpha_8_Std,alpha_8_Max,alpha_8_Min,alpha_9_Mean,alpha_9_Std,alpha_9_Max,alpha_9_Min,Alpha_loss_Mean,Alpha_loss_Std,Alpha_loss_Max,Alpha_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,Training/pf_norm_Mean,Training/pf_norm_Std,Training/pf_norm_Max,Training/pf_norm_Min,Training/qf1_norm_Mean,Training/qf1_norm_Std,Training/qf1_norm_Max,Training/qf1_norm_Min,Training/qf2_norm_Mean,Training/qf2_norm_Std,Training/qf2_norm_Max,Training/qf2_norm_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,log_prob_0_Mean,log_prob_0_Std,log_prob_0_Max,log_prob_0_Min,log_prob_1_Mean,log_prob_1_Std,log_prob_1_Max,log_prob_1_Min,log_prob_2_Mean,log_prob_2_Std,log_prob_2_Max,log_prob_2_Min,log_prob_3_Mean,log_prob_3_Std,log_prob_3_Max,log_prob_3_Min,log_prob_4_Mean,log_prob_4_Std,log_prob_4_Max,log_prob_4_Min,log_prob_5_Mean,log_prob_5_Std,log_prob_5_Max,log_prob_5_Min,log_prob_6_Mean,log_prob_6_Std,log_prob_6_Max,log_prob_6_Min,log_prob_7_Mean,log_prob_7_Std,log_prob_7_Max,log_prob_7_Min,log_prob_8_Mean,log_prob_8_Std,log_prob_8_Max,log_prob_8_Min,log_prob_9_Mean,log_prob_9_Std,log_prob_9_Max,log_prob_9_Min,log_probs/mean_Mean,log_probs/mean_Std,log_probs/mean_Max,log_probs/mean_Min,log_probs/std_Mean,log_probs/std_Std,log_probs/std_Max,log_probs/std_Min,log_probs/max_Mean,log_probs/max_Std,log_probs/max_Max,log_probs/max_Min,log_probs/min_Mean,log_probs/min_Std,log_probs/min_Max,log_probs/min_Min,mean/mean_Mean,mean/mean_Std,mean/mean_Max,mean/mean_Min,mean/std_Mean,mean/std_Std,mean/std_Max,mean/std_Min,mean/max_Mean,mean/max_Std,mean/max_Max,mean/max_Min,mean/min_Mean,mean/min_Std,mean/min_Max,mean/min_Min
339,8.633237838745117,720000,33133.01919,514005.63178,31554.84208,0.06340,8.56515,0.00459,0.33333,48409.96470,0.00000,-75.67389,0.00000,-11.31316,0.00000,-48.00748,0.00000,-66.58537,0.00000,-71.32756,0.00000,-48.17025,1.00000,280881.22674,0.00000,-13.71146,0.00000,2373.78965,0.13333,149.39244,9.72609,175.99022,130.14946,18.88275,0.13513,19.03531,18.65263,0.15054,0.00254,0.15481,0.14612,0.02647,0.00006,0.02657,0.02635,0.02270,0.00012,0.02288,0.02252,0.03105,0.00007,0.03118,0.03088,0.08095,0.00104,0.08223,0.07868,9.16168,0.04884,9.24774,9.09818,0.01950,0.00023,0.01989,0.01913,0.16367,0.00086,0.16493,0.16226,0.05839,0.00047,0.05937,0.05797,-0.06192,0.58571,1.42313,-1.73524,-20170.67746,596.86401,-18868.73438,-21950.28320,251090.99402,342678.60862,4960145.50000,103871.81250,309751.55094,350128.20838,4875386.00000,93175.02344,3288.85638,17696.02521,223258.39062,267.98816,54864357.31000,25091384.33983,270295968.00000,19154016.00000,78420231.77000,35701204.43999,202490272.00000,22062284.00000,-1.06675,0.01835,-1.02050,-1.10473,0.44950,0.03489,0.69061,0.41659,0.52816,0.53356,2.00000,0.07371,-4.13007,2.98692,-2.65004,-20.00000,3.80390,0.50002,4.94433,2.46280,3.17525,0.42712,4.53091,2.22489,4.08467,0.41300,5.31094,3.17314,3.89803,0.48510,4.99960,2.62191,4.00879,0.50630,5.50714,2.82290,4.53191,0.69537,6.01284,3.14504,4.13785,0.64174,6.78705,2.70935,3.63087,0.37108,4.68312,2.76625,4.08417,0.66834,6.00977,2.85458,4.23798,0.70934,6.14149,2.94416,3.95934,0.21499,4.37150,3.42952,3.73182,0.23345,5.13347,3.28283,28.35411,17.57851,131.58629,15.23654,-6.30800,1.23486,-4.05749,-10.86457,0.01659,0.07295,0.38298,-0.24218,1.51672,1.14559,16.18153,1.31307,14.37779,75.95882,1055.88843,3.54348,-9.41997,36.06510,-3.47689,-507.33475
340,8.724061012268066,722000,32665.68290,499131.23287,36927.67813,0.18348,8.53648,0.00404,0.00000,32572.80775,0.00000,-71.93543,0.00000,-10.45198,0.00000,-48.05494,0.00000,-65.33980,0.00000,-79.44837,0.00000,4128.35468,1.00000,287891.11873,0.00000,-15.82485,0.00000,2355.60322,0.10000,150.92741,8.60202,174.10413,133.49373,18.60160,0.05583,18.70659,18.48180,0.14135,0.00264,0.14610,0.13718,0.02722,0.00030,0.02757,0.02657,0.02238,0.00013,0.02255,0.02214,0.03083,0.00010,0.03099,0.03060,0.08290,0.00063,0.08396,0.08225,9.22172,0.02562,9.26694,9.18650,0.01949,0.00016,0.01966,0.01914,0.16729,0.00272,0.17191,0.16415,0.05895,0.00054,0.05973,0.05812,-0.06537,0.59526,1.40955,-1.71382,-20215.41949,501.69524,-18512.33398,-21508.66602,278816.77297,385678.72231,5277261.00000,93229.03125,324158.50652,397374.76125,5219677.00000,97670.64062,1877.34608,3263.15175,36542.87109,381.87241,58563243.54000,27028013.84370,215897472.00000,17313682.00000,75290198.91000,37916665.86110,282769664.00000,21069560.00000,-1.04886,0.03330,-0.97395,-1.10531,0.45583,0.02484,0.57255,0.41918,0.67869,0.58897,2.00000,0.10958,-4.55217,3.80749,-2.51131,-20.00000,3.89053,0.55944,5.42609,2.53141,2.99097,0.49380,4.08281,1.95642,4.21196,0.70978,6.01954,2.33747,3.79159,0.37903,5.06115,2.80844,3.85923,0.32402,4.86904,3.13587,4.18568,0.56902,5.52092,3.01045,4.07394,0.57710,5.72330,2.88070,4.23339,0.39736,5.20039,3.10399,4.53069,0.52098,5.82575,3.28982,3.76852,0.65783,5.53795,2.11066,3.95365,0.19106,4.36617,3.57022,3.72486,0.18001,4.69219,3.43354,28.27209,15.62933,95.52023,15.78900,-6.31322,1.35882,-3.82206,-11.56421,-0.01105,0.07364,0.18488,-0.22843,1.57660,1.90723,28.20962,1.32397,18.66196,107.08473,1498.93945,3.63416,-14.86601,85.42197,-3.52077,-1195.55469
341,8.372318267822266,724000,29397.25718,505515.00486,23835.53187,0.02705,8.34096,0.00424,0.00000,-33.74945,0.00000,-54.88623,0.00000,-11.51908,0.00000,-48.77104,0.00000,-67.55926,0.00000,-83.04572,0.00000,-35.28952,1.00000,292038.58710,0.00000,-17.32726,0.00000,2286.13227,0.10000,150.91027,9.50565,188.87569,129.11958,19.11584,0.46414,19.80658,18.41565,0.13500,0.00116,0.13713,0.13343,0.02778,0.00020,0.02800,0.02715,0.02190,0.00015,0.02214,0.02169,0.03089,0.00010,0.03102,0.03061,0.08447,0.00049,0.08543,0.08375,9.38541,0.03957,9.43116,9.26688,0.01960,0.00011,0.01973,0.01944,0.17912,0.00426,0.18634,0.17197,0.05831,0.00013,0.05875,0.05812,-0.02566,0.66219,1.79298,-1.48182,-20318.44008,586.88715,-19043.65234,-21656.84375,281605.29781,351707.13835,5027401.50000,129595.25000,279695.12734,332622.54847,4730690.50000,118048.11719,2741.84196,8294.44872,98042.54688,441.97525,62962092.29000,24834027.49321,174757040.00000,23941912.00000,65794134.83000,25236861.46313,156962336.00000,20342072.00000,-1.10401,0.03671,-1.01575,-1.17456,0.47992,0.02540,0.72693,0.43991,0.63084,0.54212,2.00000,0.10272,-3.81042,2.53514,-2.45994,-20.00000,4.89434,0.72786,6.78053,2.43208,3.63446,0.51134,4.68760,2.25343,4.30904,0.68726,5.89036,2.38063,3.87177,0.40473,4.97804,2.72003,4.11268,0.49683,5.51642,2.89019,4.24102,0.34921,5.10083,3.39370,4.17949,0.60489,6.22711,2.24100,3.94105,0.39179,5.04538,3.01751,4.98286,0.56918,6.71507,3.32649,4.15584,0.37981,5.15130,3.11948,4.23225,0.21097,4.77516,3.72289,3.85967,0.17766,5.16216,3.46606,27.00462,13.15567,131.58629,15.70117,-6.11098,1.20180,-3.82620,-11.11967,-0.00894,0.05758,0.10182,-0.16021,1.47823,0.48613,6.80831,1.33006,11.07220,32.44104,333.26306,3.71517,-8.00052,20.64320,-3.55590,-207.14316
342,8.13699460029602,726000,34319.43419,494503.57920,35730.96675,0.07142,8.06082,0.00464,0.00000,53181.31128,0.00000,-42.90668,0.00000,-9.81906,0.00000,-46.81487,0.00000,-59.69015,0.00000,-70.01043,0.00000,-23.39693,1.00000,287874.40729,0.00000,-17.88983,0.00000,2409.15124,0.10000,151.65524,8.24203,169.94014,124.35107,20.29502,0.28917,20.70879,19.81282,0.13479,0.00101,0.13632,0.13346,0.02820,0.00015,0.02855,0.02794,0.02182,0.00013,0.02195,0.02142,0.03092,0.00012,0.03104,0.03067,0.08370,0.00128,0.08558,0.08146,9.47134,0.06080,9.56057,9.39393,0.01945,0.00007,0.01951,0.01931,0.19012,0.00155,0.19194,0.18643,0.05928,0.00019,0.05959,0.05876,-0.35247,0.72641,1.80808,-1.89691,-20338.14209,499.79760,-18632.34180,-21809.57617,232986.11582,83374.42440,675255.50000,102638.27344,276374.42414,136293.24962,879678.62500,106414.56250,1627.87895,2682.21832,34087.89453,340.31335,57754421.42000,22918287.45464,149056976.00000,17353330.00000,70794198.00000,34951336.78799,219894240.00000,17230176.00000,-1.05854,0.04133,-0.98087,-1.14651,0.46111,0.02878,0.71174,0.41540,0.54925,0.47579,2.00000,0.08010,-3.81908,2.74387,-2.52842,-20.00000,4.57094,0.62128,6.31963,2.96509,3.95370,0.89376,6.54407,2.34170,4.19487,0.60555,5.83568,2.92638,3.82527,0.51524,5.22875,2.33122,3.92375,0.41067,5.54639,3.21255,3.41960,0.46041,4.71411,2.42401,4.15982,0.67212,5.80503,2.39968,3.92425,0.38105,4.83656,3.08731,4.29104,0.56093,5.84133,2.87116,4.04787,0.48058,5.44556,3.05782,4.03111,0.31059,4.85562,3.43910,3.83609,0.21991,5.24276,3.40076,26.50664,13.57121,131.58629,15.86753,-6.38325,1.18790,-3.81110,-10.99130,-0.01710,0.04685,0.13865,-0.17244,1.46484,0.45188,7.26418,1.31400,9.60503,26.29540,330.57379,3.77771,-8.32881,20.81953,-3.52858,-253.71425
343,7.922860145568848,728000,22700.88863,495238.59832,40470.87072,0.01986,7.89876,0.00418,0.33333,3249.03594,0.00000,-70.29136,0.00000,-10.63248,0.00000,-48.30434,0.00000,-89.55411,0.00000,-67.64312,0.00000,905.93070,1.00000,220823.99292,0.00000,-16.98495,0.00000,2333.33711,0.13333,150.49279,8.74045,173.67915,119.90257,21.48799,0.30505,21.75088,20.71580,0.13226,0.00071,0.13347,0.13101,0.02891,0.00037,0.02958,0.02855,0.02185,0.00047,0.02261,0.02134,0.03123,0.00057,0.03204,0.03066,0.07953,0.00099,0.08143,0.07814,9.62227,0.02381,9.65892,9.55562,0.01918,0.00027,0.01952,0.01868,0.18883,0.00126,0.19145,0.18725,0.06051,0.00133,0.06251,0.05908,0.19920,1.08694,3.42423,-2.32596,-20328.94943,489.03052,-18873.39648,-21482.93555,287789.00031,337151.53027,4640682.00000,107783.56250,322730.04395,360442.03986,4622173.00000,124381.05469,2220.67587,7709.48709,84873.35156,375.73508,59937063.76000,25547972.61391,148115280.00000,20877608.00000,73609288.76000,32070233.70989,211945680.00000,23550970.00000,-1.08973,0.03821,-1.02724,-1.18362,0.48786,0.02760,0.69969,0.42820,0.55971,0.49735,2.00000,0.14175,-3.92611,2.41773,-2.57440,-20.00000,4.55982,1.46304,9.90244,2.14530,3.75046,0.39748,4.86848,2.63230,4.36282,0.60121,6.19933,3.08474,4.57147,0.65203,6.54358,3.19669,4.46055,0.78344,6.72934,3.04192,3.53691,0.51605,5.02310,2.47230,4.14115,0.61419,5.69029,2.65265,3.68682,0.58284,5.28165,2.54492,3.93122,0.64643,5.51083,2.75065,4.70496,0.88940,6.99338,3.05101,4.17062,0.25275,4.90332,3.72598,3.83650,0.19244,5.03131,3.47340,27.31577,13.50924,124.29028,16.29069,-6.46355,1.39401,-3.96149,-13.45510,-0.03891,0.04455,0.07257,-0.19012,1.51179,0.80900,9.50415,1.31674,9.60661,21.80650,275.96799,3.89623,-11.99582,52.79341,-3.54124,-618.16449
344,8.70598292350769,730000,38459.99121,310009.05877,40806.54864,0.00888,8.69315,0.00390,0.66667,102059.72216,0.00000,-40.77068,0.00000,-10.28476,0.00000,-48.21221,0.00000,-64.22652,0.00000,-74.95585,0.00000,-19.59653,1.00000,281283.24707,0.00000,-14.63992,0.00000,1529.62934,0.16667,150.78604,9.36999,173.50432,118.76869,21.59957,0.04636,21.67381,21.49506,0.12993,0.00042,0.13098,0.12921,0.03010,0.00049,0.03077,0.02948,0.02255,0.00005,0.02263,0.02248,0.03163,0.00012,0.03194,0.03139,0.07750,0.00063,0.07812,0.07592,9.51832,0.08844,9.66454,9.40548,0.01906,0.00047,0.02011,0.01856,0.19594,0.00351,0.20228,0.18991,0.06348,0.00056,0.06449,0.06252,0.63707,0.80300,2.70381,-1.45006,-20338.39062,529.39117,-18288.65430,-21664.98633,272136.43750,167281.32456,1858628.87500,107558.57812,278162.17973,181068.81974,2135969.50000,109288.14062,1303.24934,1210.86774,12411.79590,422.21301,61712607.71000,27288403.67473,189019936.00000,22397884.00000,66929179.38000,29448935.44546,251598912.00000,20267934.00000,-1.09176,0.03012,-1.02706,-1.16006,0.47952,0.01592,0.52702,0.44803,0.38487,0.36907,2.00000,0.07374,-3.27560,0.83685,-2.66645,-11.76753,3.94287,0.54761,5.54159,2.68450,3.97883,0.66157,5.86168,2.68486,4.43207,0.61496,5.94512,3.04847,3.98792,0.41971,5.18868,2.81164,3.79875,0.53199,5.43224,2.59469,3.69948,0.49117,4.93031,2.33766,3.72856,0.64378,5.58083,2.12201,4.84342,0.78679,6.57453,2.87943,4.78653,0.44424,5.86572,3.49813,4.36611,0.46114,5.68186,3.38701,4.15645,0.23833,4.73909,3.59209,3.74065,0.18166,4.15335,3.35961,23.11488,7.59145,70.63454,14.63614,-6.29707,1.28141,-4.06878,-12.39213,-0.04483,0.05349,0.12112,-0.13694,1.40867,0.03825,1.53791,1.32979,5.39984,3.30537,38.93668,3.54965,-5.23018,1.83126,-3.52134,-16.88595
345,8.547805070877075,732000,29328.64750,608179.67877,32854.31310,0.05884,8.48474,0.00415,0.00000,-38.64272,0.00000,-68.14852,0.00000,627.50903,0.00000,-32.41328,0.00000,-52.99736,0.00000,-78.56115,0.00000,-12.64937,1.00000,292327.99318,0.00000,-16.83318,0.00000,631.21836,0.10000,153.22781,8.61904,177.30087,128.98848,21.43612,0.13848,21.72893,21.27951,0.13076,0.00036,0.13140,0.13007,0.03116,0.00023,0.03146,0.03076,0.02294,0.00021,0.02321,0.02255,0.03137,0.00008,0.03153,0.03125,0.07438,0.00100,0.07591,0.07254,9.46667,0.04850,9.55155,9.39202,0.02099,0.00045,0.02168,0.02012,0.20622,0.00305,0.21089,0.20234,0.06464,0.00019,0.06499,0.06426,0.31708,0.70723,1.71320,-1.22451,-20436.07609,500.26238,-19028.88086,-22029.52539,276634.68133,368420.86426,5291209.50000,119697.50000,295528.17207,350725.61084,4906400.50000,120600.80469,1454.56267,1438.51170,13763.09863,318.12384,63368501.30000,25494497.82604,152930688.00000,19057894.00000,71192790.26000,29971313.61227,198959984.00000,22483048.00000,-1.10255,0.02628,-1.04724,-1.17644,0.48171,0.03070,0.70594,0.44723,0.41410,0.45775,2.00000,0.00365,-3.93214,2.75250,-2.82060,-20.00000,4.18414,0.74225,6.58362,2.81153,4.08852,0.54090,5.45841,2.61976,4.12950,0.62299,5.64938,2.69400,4.15745,0.55521,5.50484,2.80210,4.01450,0.44444,5.44888,2.91201,3.47538,0.51346,5.06758,2.35027,4.13628,0.60881,6.12560,2.56291,4.89225,0.37196,5.82598,3.90815,4.51421,0.54708,5.97905,3.20308,3.95054,0.44795,4.91525,2.50926,4.15428,0.24372,4.78116,3.63054,3.74680,0.22462,5.18844,3.28068,25.82563,15.16818,131.58629,15.63715,-6.23058,1.39746,-3.88945,-11.92342,-0.03090,0.05519,0.11972,-0.19652,1.43962,0.33022,5.34460,1.32474,8.45561,17.31318,188.67213,3.77506,-7.03314,18.24674,-3.48582,-239.48083
346,8.116960525512695,734000,35509.37123,397936.46267,34624.40849,0.03386,8.07911,0.00392,0.00000,90379.72649,0.00000,-53.68321,0.00000,-10.36269,0.00000,-19.42962,0.00000,-66.67642,0.00000,-78.75788,0.00000,-11.43787,1.00000,263848.40477,0.00000,-15.63963,0.00000,1121.56838,0.10000,152.36634,8.38320,177.49287,119.95135,21.97497,0.08450,22.04641,21.73149,0.13385,0.00176,0.13767,0.13141,0.03217,0.00073,0.03342,0.03115,0.02311,0.00015,0.02344,0.02293,0.03187,0.00031,0.03243,0.03142,0.06879,0.00229,0.07251,0.06479,9.68073,0.08481,9.83534,9.54690,0.02267,0.00060,0.02346,0.02169,0.21720,0.00302,0.22188,0.21093,0.06525,0.00070,0.06617,0.06416,0.64722,0.69974,2.37751,-1.34161,-20501.39842,498.80610,-19090.20508,-21765.93359,269439.09855,351361.26465,4760490.50000,120193.64844,305010.60184,334682.33513,4528688.50000,104336.50000,1421.36815,1616.52184,19612.28516,382.72037,56121103.67000,22574782.28500,194862944.00000,20704590.00000,69566449.29000,25685222.53608,163867392.00000,20925318.00000,-1.09423,0.02522,-1.03961,-1.16228,0.48962,0.03302,0.69367,0.45374,0.48399,0.48643,2.00000,0.04304,-3.93860,3.03628,-2.84987,-20.00000,4.18957,0.59771,5.92497,2.87764,4.60589,0.43431,5.78763,3.27976,4.88263,0.59507,6.49914,3.49572,4.19900,0.39999,5.15791,3.03323,4.27551,0.82536,7.00417,2.55430,2.48526,0.46624,3.89468,0.92113,4.34056,0.59722,5.69800,2.69159,5.06626,0.69696,6.63241,3.33617,4.64382,0.54276,6.09098,3.10001,4.33232,0.53605,5.52887,3.20132,4.30208,0.24431,4.80116,3.65782,3.88963,0.21835,5.02437,3.51237,26.30767,16.54488,121.29292,16.51694,-6.47161,1.33099,-3.93396,-11.95869,-0.09976,0.04483,0.27057,-0.19125,1.67174,2.42023,34.73925,1.32155,22.66952,171.65126,2388.39624,3.79204,-10.56267,39.83972,-3.48285,-425.16525
347,8.733533143997192,736000,41106.45319,707422.71211,34133.82113,0.00368,8.72543,0.00437,0.33333,119188.21539,0.00000,-60.35735,0.00000,-10.24235,0.00000,-36.85449,0.00000,-63.34956,0.00000,-66.04978,0.00000,886.81261,1.00000,288841.48408,0.00000,-15.57624,0.00000,2400.44961,0.13333,154.63004,9.04144,177.02303,129.61690,22.09087,0.05370,22.26823,22.00367,0.13984,0.00193,0.14349,0.13765,0.03387,0.00027,0.03428,0.03343,0.02327,0.00010,0.02344,0.02313,0.03186,0.00015,0.03226,0.03167,0.06280,0.00090,0.06476,0.06174,9.95597,0.07889,10.11627,9.83718,0.02380,0.00031,0.02432,0.02343,0.22464,0.00193,0.22705,0.22155,0.06549,0.00022,0.06614,0.06522,0.02079,0.65548,1.50249,-2.15152,-20623.82066,501.37432,-19022.58008,-21772.12500,249134.55484,151096.78773,1860860.87500,81584.71094,283457.37215,165734.95197,1794780.37500,89741.52344,1541.55583,5501.32179,78422.47656,297.03204,58985872.87000,26118542.24225,259855024.00000,22178472.00000,73630811.98000,31160008.53197,192195584.00000,24762604.00000,-1.06749,0.02817,-1.02054,-1.16041,0.46136,0.03275,0.80848,0.42530,0.51753,0.43048,2.00000,0.07384,-3.60866,2.63511,-2.61172,-20.00000,4.16856,0.55950,5.68646,2.91134,4.52821,0.50314,5.77448,2.80958,4.26120,0.42933,5.44668,3.29719,3.93189,0.36434,4.94901,3.05726,3.88838,0.39196,4.85615,2.80728,3.34039,0.55054,4.74467,2.02340,4.30826,0.62952,6.80721,2.62001,4.53244,0.47977,5.69298,3.08227,4.26542,0.62397,6.18067,2.67691,3.84912,0.44127,5.00600,2.74758,4.10739,0.23445,4.67610,3.41576,3.73955,0.21918,5.77878,3.40126,25.36744,13.86935,120.60979,16.10834,-6.44497,1.17505,-4.11829,-10.21996,-0.04600,0.07957,0.22461,-0.19896,1.82153,4.65282,65.65842,1.31117,24.62929,205.60057,2822.43188,3.65171,-24.88970,225.80645,-3.58519,-3122.52295
348,8.270711183547974,738000,28248.78191,474942.24591,43049.84930,0.00389,8.26252,0.00424,0.00000,-53.79572,0.00000,-69.54138,1.00000,-21.24596,0.00000,-44.15457,0.00000,-65.07946,0.00000,-87.47957,0.00000,137.39011,1.00000,282721.66065,0.00000,-19.34769,0.00000,-10.58731,0.20000,153.14393,8.70919,179.98143,125.20835,22.42545,0.07033,22.55746,22.27330,0.14991,0.00408,0.15517,0.14353,0.03446,0.00025,0.03524,0.03414,0.02348,0.00012,0.02375,0.02323,0.03154,0.00016,0.03188,0.03131,0.06277,0.00058,0.06356,0.06177,10.08127,0.04362,10.12337,9.96401,0.02501,0.00046,0.02591,0.02432,0.22972,0.00208,0.23224,0.22644,0.06509,0.00047,0.06578,0.06433,0.93939,0.72924,3.24132,-0.75592,-20550.77947,498.61798,-19146.64844,-21805.67188,299330.10582,367418.41659,4739681.00000,95595.92969,302736.07688,359797.74063,4701991.00000,103316.28125,1174.93646,649.93548,4626.16162,353.23770,64309841.51000,29197904.77639,217794704.00000,25103748.00000,67257797.30000,29423330.57595,207919776.00000,22660694.00000,-1.07939,0.02328,-1.02931,-1.13830,0.46728,0.01488,0.53215,0.44040,0.67720,0.35617,2.00000,0.17164,-3.34159,1.11475,-2.69509,-17.69686,4.15528,0.47563,5.41857,2.98035,5.09510,0.75076,6.71630,3.13201,4.39542,0.66322,5.98929,2.80751,4.21711,0.40149,5.80165,3.33593,4.00197,0.66065,6.20579,2.70747,4.32621,0.75651,6.06150,2.37466,3.81797,0.57649,5.49277,2.47254,4.95087,0.55098,6.25629,3.51769,4.31211,0.63191,6.10170,2.73607,4.12807,0.65063,5.75179,2.82199,4.34001,0.28222,5.04094,3.69508,3.84089,0.14428,4.29888,3.45237,22.65456,6.28173,64.61114,15.73576,-6.23045,1.29478,-3.89986,-12.56269,-0.14813,0.06286,0.00759,-0.31196,1.44925,0.12338,2.58526,1.33998,5.85586,8.66947,95.82197,3.74672,-6.16646,10.70344,-3.60774,-109.28964
349,8.5581374168396,740000,37365.28255,576788.73548,42985.45205,0.01294,8.54122,0.00392,0.33333,78412.14067,0.00000,-68.41482,1.00000,-18.50566,0.00000,-29.00228,0.00000,-67.41768,0.00000,-70.11937,0.00000,-14.24066,1.00000,293113.49139,0.00000,-15.82423,0.00000,2410.71815,0.23333,154.15252,9.67387,174.52641,125.01708,22.41925,0.10733,22.61391,22.28805,0.15847,0.00152,0.16109,0.15522,0.03599,0.00028,0.03630,0.03526,0.02402,0.00009,0.02413,0.02376,0.03179,0.00020,0.03207,0.03153,0.06378,0.00051,0.06467,0.06308,10.03141,0.05143,10.12105,9.96373,0.02658,0.00032,0.02696,0.02592,0.23563,0.00283,0.24029,0.23188,0.06681,0.00047,0.06749,0.06580,0.52373,0.76706,2.18670,-1.28154,-20696.77561,533.07695,-18956.53711,-22008.53711,232153.65969,82662.01335,812284.50000,109712.56250,240958.66098,79868.97011,806710.12500,118607.80469,1245.05044,3228.04186,46285.64844,356.66644,55542204.06000,21283082.57581,143698288.00000,20982686.00000,59612549.20000,22983653.93102,164370096.00000,16268466.00000,-1.05024,0.02978,-0.96682,-1.10916,0.44678,0.01441,0.48053,0.41166,0.56868,0.39763,2.00000,0.14657,-3.40757,0.71372,-2.57156,-10.88312,3.85138,0.52625,5.32471,2.55695,4.54092,0.66243,6.38413,2.95484,4.25730,0.60573,5.74081,2.88400,4.07096,0.33178,5.09565,3.21602,3.87445,0.51927,5.34308,2.45643,4.34205,0.60183,6.13582,2.90017,4.16728,0.58704,6.04062,2.57650,4.39980,0.83172,6.70038,2.68355,4.43577,0.61690,6.18948,3.01446,4.16353,0.49569,5.75352,2.82376,4.21035,0.28925,5.08526,3.60192,3.85489,0.16515,4.28392,3.49529,24.80532,8.06359,69.42613,16.44378,-6.26182,1.47744,-3.82400,-15.21249,-0.15723,0.04917,-0.03020,-0.25761,1.47007,0.51602,8.72545,1.34406,7.81011,29.21062,417.25555,3.51201,-7.10417,22.03179,-3.70631,-314.38696
